q_gas,time
-1729.7216007220661,1
3098.2497418853445,2
12019.417404892616,3
11119.319657355434,4
10842.09901108402,5
8169.066787533837,6
11632.120081730329,7
16014.333842224118,8
18594.418959063725,9
19729.4026575805,10
20318.15116111328,11
20647.225019727637,12
22203.86678889763,13
22532.776949206127,14
23120.15096433385,15
23991.784602825704,16
24961.73600469243,17
25564.45820068669,18
25482.940776708332,19
25762.737074479435,20
25932.0574941934,21
26505.30965291962,22
26682.269745633763,23
27188.82082789824,24
27057.817609176964,25
26707.362838270183,26
26849.59142181771,27
26955.939707671736,28
26822.19276761977,29
26914.773925685895,30
27044.149725192445,31
27091.154660857712,32
27193.46866464118,33
27584.141681095138,34
27893.623449484683,35
28440.09852174365,36
29045.535306357153,37
29699.112909956395,38
30122.500177593894,39
30535.448368872785,40
31215.869449567217,41
31800.187247295737,42
32452.126392660775,43
32842.824104213156,44
33417.15976435682,45
33696.627627530295,46
33923.57596181693,47
34478.26395924386,48
34795.70108880524,49
35283.28278302745,50
35730.342676327586,51
36318.92888912915,52
36636.67915761521,53
36891.776493129706,54
37388.93682306626,55
37633.38913991854,56
38269.14930663237,57
38872.700846081185,58
39405.986473775214,59
39801.70132419905,60
40019.048845077996,61
40161.0085212732,62
40587.69785340564,63
40737.13521972157,64
40383.95371429833,65
38590.836475772165,66
35138.30156929365,67
34155.73488007889,68
35310.45656444588,69
36176.789740751825,70
35177.03975398695,71
34886.53629124179,72
36251.81157385012,73
34877.35812780534,74
34441.88460029081,75
36096.869150905295,76
36630.10095356717,77
37287.369028248024,78
37541.970895500184,79
38008.95023210592,80
36562.135343129834,81
36125.65999024746,82
37778.39495164818,83
38194.631527244186,84
38535.53075671576,85
38883.97314509344,86
39324.06047436799,87
37577.72929140315,88
36124.33818270083,89
38261.45946550625,90
38628.65384360191,91
38444.605261250974,92
39348.85666887126,93
39701.3659812599,94
37934.342476724145,95
37172.43873796361,96
38061.498163998236,97
38188.5238848467,98
38493.19137811371,99
39068.03492516352,100
39548.42965552413,101
38451.51356308529,102
37873.808910650805,103
38036.171852881016,104
39166.73415241458,105
39071.36899250581,106
38493.25557304704,107
39537.24432575356,108
38220.633422494175,109
37641.927712186596,110
38546.744631837646,111
39303.951674938304,112
38797.98940519138,113
40094.78122904192,114
41833.69412938628,115
39780.61875916314,116
38777.443930396534,117
38592.81439322897,118
39224.650825572615,119
39432.581196642655,120
39915.35545618981,121
40082.774208137016,122
40385.72602818372,123
39286.59953182262,124
39928.95518861708,125
38683.37651315866,126
39828.56561469755,127
39797.25896736416,128
40187.62014677818,129
39032.58843080244,130
38560.36195966269,131
39508.99757402102,132
39045.31984656426,133
40099.81413662184,134
40160.85932859991,135
39890.15490209377,136
39099.772220892,137
38718.72584786901,138
39650.989011954196,139
40430.22519744861,140
39974.386691441774,141
41120.077045151455,142
41033.24808616962,143
40033.37157976158,144
39673.0873689293,145
40485.812978342205,146
40800.42060130954,147
40977.6914735804,148
40892.469288331515,149
41485.136962900186,150
